name,class,mode,mandate,corr_mean,corr_sd,top20_mean,top20_sd,gap_mean,gap_sd,mse_mean,mse_sd,attentive_mean,delegator_mean,delegates_mean,concentration_mean,quality_mean,platform_mean,coverage_mean,top1_mean,top10_mean,mandate_share_mean,distortion_mean
core_v0_open_mandated_participation,core_v0_planning,open,mandated_participation,0.93836875,0.01060419,0.74819730,0.02418890,0.46842346,0.03177521,0.00874105,0.00216529,0.10000000,0.35000000,1800.00000000,0.08000000,0.85352160,0.85000000,0.60000000,0.00137432,0.01116152,,
core_v0_tutored_distributed_mandated,core_v0_planning,tutored,mandated_participation,0.90652761,0.01712847,0.73965438,0.02442918,0.45239656,0.03248854,0.01280166,0.00300776,0.08000000,0.24000000,950.00000000,0.12000000,0.79173120,0.78000000,0.55000000,0.00275557,0.02156986,,
core_v0_open_institutional_delegate_emergence,core_v0_planning,open,none,0.86937404,0.02303727,0.72924146,0.02649939,0.43155392,0.03558450,0.01702376,0.00343942,0.05000000,0.30000000,250.00000000,0.38000000,0.65807280,0.90000000,0.70000000,0.01951337,0.11620564,,
core_v0_open_trusted_microdelegation,core_v0_planning,open,none,0.86051427,0.02396869,0.72746488,0.02670661,0.42886007,0.03528614,0.01801580,0.00357681,0.05000000,0.35000000,1500.00000000,0.08000000,0.84515760,0.70000000,0.45000000,0.00160749,0.01305517,,
core_v0_tutored_distributed_voluntary,core_v0_planning,tutored,enabled_voluntary,0.84393122,0.02695924,0.72193103,0.02790555,0.41851559,0.03636334,0.02012607,0.00396768,0.05000000,0.18000000,650.00000000,0.16000000,0.76336480,0.68000000,0.40000000,0.00437363,0.03292494,,
core_v0_open_mixed_trusted_delegation,core_v0_planning,open,none,0.84288032,0.02765951,0.72332414,0.02688337,0.41962369,0.03669459,0.02010531,0.00393368,0.05000000,0.30000000,1000.00000000,0.14000000,0.78693120,0.68000000,0.42000000,0.00285283,0.02190456,,
core_v0_open_plural_delegation_concentrated,core_v0_planning,open,none,0.84173445,0.02839981,0.72237442,0.02681390,0.41894187,0.03506601,0.02039421,0.00416549,0.04000000,0.30000000,60.00000000,0.55000000,0.65610800,0.85000000,0.65000000,0.07371502,0.36343796,,
core_v0_open_family_proxy_high_trust,core_v0_planning,open,none,0.81618770,0.03133530,0.71758439,0.02729486,0.40652855,0.03708943,0.02315503,0.00418572,0.04000000,0.45000000,2200.00000000,0.05000000,0.86179500,0.65000000,0.35000000,0.00103008,0.00858218,,
core_v0_open_low_attention_high_trusted_delegation,core_v0_planning,open,none,0.81528332,0.03135350,0.71796961,0.02733623,0.40646900,0.03706927,0.02327133,0.00424537,0.02000000,0.40000000,1800.00000000,0.10000000,0.82222000,0.70000000,0.42000000,0.00148843,0.01187151,,
central_high_alignment,representative,,,0.64989818,0.05421248,0.70770443,0.03399594,0.32786059,0.04211674,0.04382680,0.00822802,,,,,,,,,,0.40600000,0.28394560
central_median_democracy,representative,,,0.48296299,0.08052908,0.65677590,0.03732300,0.24875205,0.05068650,0.06266801,0.01086958,,,,,,,,,,0.31800000,0.41477500
central_median_global_south,representative,,,0.43199022,0.08930326,0.63896115,0.04089914,0.22186599,0.05514884,0.06875574,0.01205147,,,,,,,,,,0.28860000,0.48485386
central_low_alignment,representative,,,0.36940968,0.09115919,0.61809829,0.04084340,0.19015114,0.05446594,0.07538088,0.01237878,,,,,,,,,,0.28860000,0.53760000
central_very_low_alignment,representative,,,0.34111590,0.08750644,0.60740870,0.03776745,0.17572660,0.05307837,0.07865883,0.01275948,,,,,,,,,,0.22500000,0.63100000
central_crisis_legitimacy,representative,,,0.31455686,0.09649527,0.59989914,0.04157286,0.15526506,0.06087968,0.08132573,0.01330263,,,,,,,,,,0.18900000,0.71335000
salience_vector,salience,,,0.18653744,0.10681525,0.57181382,0.04235589,0.10093358,0.06230057,0.11377995,0.01730680,,,,,,,,,,,
